序號,診所名稱,地址,電話
27,大心診所,臺北市大安區忠孝東路4段205巷7弄13號2樓、153號6樓,(02)2771-8821
28,晴天身心診所,臺北市大安區延吉街135之3號2樓,(02)8771-6545
29,自體心理診所,臺北市大安區延吉街153之9號3樓,(02)2775-4121
30,光慧診所,臺北市大安區復興南路二段176號,(02)2755-5627
31,主愛心靈診所,臺北市大安區羅斯福路3段269巷39號1樓,(02)2365-1224
32,宇寧身心診所,臺北市大安區復興南路2段6號3樓,(02)2708-0706
33,光能身心診所,臺北市大安區忠孝東路四段15號8樓,(02)2721-4322
34,林青穀家庭醫學科診所,臺北市大安區大安路1段2之1號,(02)2731-7557
35,杏語心靈診所,臺北市大安區復興南路1段200號11樓,(02)2775-1526
36,尹書田醫療財團法人書田泌尿科眼科診所,臺北市大安區建國南路2段276號1樓、2樓、4樓、4樓之1、B1、B1之1、278號1樓,(02)2369-0211
37,看見身心平衡診所,臺北市大安區忠孝東路3段305號9樓之6,(02)2771-1854
38,振芝映煦心身醫學診所,臺北市大安區信義路4段341號8樓之1,(02)2703-0082
39,福全身心科診所,臺北市萬華區中華路二段600號,(02)2332-7712
40,萬華身心精神科診所,臺北市萬華區和平西路3段142號,(02)2308-8878
41,新佑泉診所,臺北市信義區忠孝東路5段508之4號,(02)2346-5772
42,伯特利身心診所,臺北市信義區光復南路421號2樓,(02)2720-0938
43,松德精神科診所,臺北市信義區松德路108號,(02)8789-4477
44,信義身心精神科診所,臺北市信義區莊敬路412號,(02)2758-0988
45,聿康診所,臺北市信義區忠孝東路五段250號2樓,(02)8786-7727
46,臺北市政府醫務室,臺北市信義區市府路1號(1樓東區),(02)2728-7164
47,天晴診所,臺北市士林區中山北路六段292號、292號2樓,(02)2835-5329
48,天母康健身心診所,臺北市士林區德行西路100號,(02)2837-8787
49,自由想心理診所,臺北市士林區福華路122號2樓,(02)2831-4837
50,社子安心診所,臺北市士林區延平北路五段76號,(02)2813-6622
51,石牌鄭身心醫學診所,臺北市北投區石牌路一段69號(實際使用:1、2樓),(02)2822-7660
52,奇岩身心診所,臺北市北投區中央南路一段191、193號,(02)2891-9008
53,北辰身心醫學診所,臺北市北投區光明路2巷9之3號、9之3號2樓,(02)2892-5500
54,夏一新身心精神科診所,臺北市內湖區成功路三段143號4樓,(02)8792-8213
55,內湖身心精神科診所,臺北市內湖區內湖路1段439號1樓,(02)2627-1028
56,林威廷身心精神科診所,臺北市內湖區東湖路10號,(02)2630-8128
57,國泰醫療財團法人內湖國泰診所,臺北市內湖區瑞光路337號(1、2、3、4樓),(02)8797-2121
58,開馨診所,臺北市南港區南港路二段38巷6之1號,(02)2653-2987
59,和沛身心醫學診所,臺北市文山區羅斯福路五段232號,(02)2935-0330
60,木柵身心診所,臺北市文山區辛亥路四段246號,(02)2930-1550
61,交感身心診所,臺北市大安區信義路4段143號4樓,(02)7730-6840
62,方舟身心診所,臺北市文山區興隆路3段84號2樓,(02)2930-8099
63,誠心身心醫學診所,臺北市文山區羅斯福路6段138號1樓,(02)8663-1380
64,心築身心診所,臺北市士林區劍潭路28號1樓、30號1樓,(02)2885-6572
65,士林身心醫學診所,臺北市士林區文林路410號(1、2樓),(02)2881-2205
66,得心身醫學台北總診所,臺北市中山區復興北路60號3樓之2,(02)2751-0089
67,伯特利敦南身心診所,臺北市大安區和平東路3段1巷51號2樓,(02)2701-0622
68,新田身心診所,臺北市中山區復興北路344號2樓,(02)2500-0301
69,偉俐民生診所,臺北市中山區龍江路245號1樓,(02)2516-8123
70,牧人所身心醫學診所,臺北市大同區承德路3段232號1樓,(02)2596-5995
71,張國榮身心診所,臺北市士林區德行東路179號1樓,(02)2838-2222
72,抱抱心身醫學診所,臺北市內湖區文德路70號1樓及72號1樓,(02)8797-4422
73,馨思診所,臺北市大安區羅斯福路2段41號7樓之1,(02)3393-3369
74,慢活靜心診所,臺北市中正區博愛路105號3樓,(02)7752-9829
75,公館得心身醫學診所,臺北市大安區羅斯福路3段281號3樓之1、3樓之2,(02)2368-1515
76,沐慕身心診所,臺北市中山區四平街20號5樓,(02)2581-7765
77,康迎健康診所,臺北市大安區忠孝東路4段76號2樓,(02)2772-8881
78,萬華維沐身心診所,臺北市萬華區西藏路113號1樓,(02)2303-5690
79,長源身心診所,臺北市信義區永吉路525號1樓,(02)2765-5077
80,士林抱抱心身醫學診所,臺北市士林區中山北路5段476號7樓,(02)2883-5477
81,怡心診所,臺北市大安區大安路1段169巷7號1樓,(02)2707-0112
82,劉宗憲身心診所,臺北市松山區八德路3段134號(1、2樓),(02)2579-4888
